City,State,Status,GOLF2020Rank,GOLF2022Rank,GOLF2024Rank,GD2018Rank,GD2021Rank,GD2023Rank,GD2025PublicRank,Slope,Year,GD2025Rank,Course,GD2025ShotOptions,GD2025Character,GD2025Challenge,GD2025LayoutVariety,GD2025Fun,GD2025Aesthetics,GD2025Conditioning,GD2021ShotOptions,GD2021Challenge,GD2021LayoutVariety,GD2021Destinctiveness,GD2021Aesthetics,GD2021Conditioning,GD2021Character,GD2021Score,GD2023ShotOptions,GD2023Character,GD2023Challenge,GD2023LayoutVariety,GD2023Fun,GD2023Aesthetics,GD2023Conditioning,GD2023Score
Paramus,NJ,Private,74,74,85,NA,134,152,NA,NA,1927,139,Ridgewood Country Club,7.451,7.4962,7.5784,7.3533,7.338,7.2961,7.655,7.5135,7.4834,7.4256,7.4008,7.4575,7.6745,7.612,60.080799999999996,7.4147,7.5087,7.4662,7.3437,7.3875,7.3592,7.6031,66.84150000000001
Pittsburgh,PA,Private,NA,NA,82,147,147,145,NA,137,NA,140,Fox Chapel Golf Club,7.4915,7.5118,7.2016,7.5588,7.5885,7.3332,7.4832,7.5378,7.2673,7.621,7.5462,7.2981,7.438,7.5735,59.819700000000005,7.4282,7.4237,7.1597,7.5086,7.4414,7.2265,7.4031,66.528
Shoal Creek,AL,Private,NA,NA,NA,106,119,130,NA,141,NA,141,Shoal Creek,7.4225,7.5631,7.4762,7.3518,7.466,7.5473,7.4534,7.5061,7.5234,7.4829,7.543,7.7094,7.4524,7.8202,60.5435,7.4256,7.6267,7.5034,7.3108,7.4597,7.5972,7.4529,67.11269999999999
Fort Wayne,IN,Private,NA,NA,NA,139,143,136,NA,148,NA,142,Sycamore Hills Golf Club,7.4346,7.4017,7.5956,7.3809,7.3106,7.3299,7.5971,7.4816,7.5913,7.401,7.4186,7.3678,7.6908,7.4732,59.9059,7.4309,7.4678,7.6097,7.4013,7.2552,7.3286,7.6555,66.9812
Yulee,FL,Private,NA,NA,NA,NA,NA,142,NA,NA,2021,143,The Dye Course at White Oak,7.3688,7.3623,7.3146,7.3667,7.4839,7.4036,7.9781,NA,NA,NA,NA,NA,NA,NA,NA,7.3619,7.2895,7.3178,7.3083,7.4554,7.4556,8.0387,66.89739999999999
Gainesville,VA,Private,NA,NA,NA,132,130,120,NA,145,1991,144,Robert Trent Jones Golf Club,7.3221,7.5302,7.4261,7.2488,7.3734,7.7013,7.6838,7.3696,7.4858,7.2458,7.5341,7.7742000000000004,7.689,7.7003,60.1684,7.3956,7.652,7.5154,7.2378,7.4266,7.7858,7.6675,67.31410000000001
Newport,RI,Private,84,84,77,116,137,126,NA,132,1893,145,Newport Country Club,7.3251,7.8777,7.2072,7.3852,7.5497,7.5723,7.3815,7.3087,7.1714,7.4085,7.5864,7.6864,7.4338,8.1485,60.0524,7.3404,7.9979,7.2434,7.4066,7.5762,7.607,7.4621,67.3806
Rumford,RI,Private,NA,NA,NA,144,166,163,NA,135,1898,146,Wannamoisett Country Club,7.4124,7.5193,7.4716,7.3722,7.5333,7.0864,7.7992,7.3869,7.4484,7.4534,7.3195,7.0844,7.7462,7.5488,59.374500000000005,7.3743,7.4384,7.4386,7.334,7.4505,7.0856,7.8344,66.66409999999999
Santa Rosa,CA,Private,NA,NA,NA,99,114,137,NA,152,2001,147,Mayacama Golf Club,7.403,7.3518,7.3687,7.3662,7.2533,7.6149,7.5465,7.4822,7.5071,7.4871,7.5461,7.7721,7.6686,7.6913,60.6367,7.4069,7.4473,7.3898,7.3557,7.2341,7.6501,7.5716,66.8181
Lanai,HI,Public,NA,NA,NA,NA,NA,140,22,134,NA,148,Manele Golf Course,7.2121,7.4866,7.1932,7.2616,7.5328,8.1083,7.6334,NA,NA,NA,NA,NA,NA,NA,NA,7.2354,7.4924,7.174,7.2892,7.6077,8.0803,7.5953,66.9989
Highland Park,IL,Private,NA,NA,94,NA,NA,164,NA,NA,1913,149,Old Elm Club,7.3776,7.6656,7.103,7.3675,7.5439,7.3159,7.788,NA,NA,NA,NA,NA,NA,NA,NA,7.3051,7.6491,7.0615,7.3582,7.5783,7.3351,7.7313,66.6819
Lahaina,HI,Public,NA,NA,NA,112,139,149,23,NA,NA,150,Kapalua (Plantation),7.3523,7.3562,7.3223,7.478,7.4032,7.8433,7.1723,7.4278,7.469,7.5454,7.7236,7.8741,7.1623,7.3457,59.9757,7.3714,7.3131,7.3628,7.4272,7.3768,7.8014,7.0419,66.4932
Truckee,CA,Private,NA,NA,NA,145,145,134,NA,143,NA,151,Martis Camp Golf Club,7.3077,7.332,7.3822,7.3915,7.3683,7.6656,7.488,7.368,7.414,7.4151,7.4367,7.7425,7.655,7.4565,59.855799999999995,7.3967,7.4447,7.4298,7.4337,7.3871,7.7422,7.6148,67.2794
Dayton,OH,Private,65,72,81,NA,177,146,NA,141,2022,152,Moraine Country Club,7.3912,7.4535,7.3228,7.3318,7.4223,7.3775,7.6587,7.3571,7.315,7.3639,7.3836,7.3989,7.5504,7.469,59.195,7.3539,7.4722,7.2737,7.2913,7.4094,7.4217,7.602,66.4694
Charlestown,RI,Private,NA,NA,NA,NA,170,156,NA,NA,2004,153,Shelter Harbor Golf Club,7.3294,7.4435,7.2286,7.3671,7.5394,7.5059,7.6789,7.3253,7.2559,7.3956,7.4148,7.4409,7.666,7.481,59.30480000000001,7.3133,7.4586,7.2346,7.3584,7.5299,7.4508,7.6323,66.64959999999999
Owings Mills,MD,Private,NA,NA,NA,140,135,157,NA,142,NA,154,Caves Valley Golf Club,7.3358,7.5784,7.2478,7.3696,7.448,7.5004,7.4787,7.3709,7.3969,7.3909,7.4804,7.6622,7.6073,7.7979,60.077400000000004,7.3084,7.6016,7.2624,7.3136,7.3647,7.5125,7.5059,66.4911
Homer,NE,Public,NA,NA,NA,NA,NA,NA,24,NA,2022,155,Landmand,7.449,7.4964,7.2589,7.5755,7.5454,7.4799,6.9229,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Fayettville,AR,Private,NA,NA,NA,NA,NA,144,NA,149,2004,156,Blessings Golf Club,7.3919,7.3017,7.6747,7.3703,7.8458,7.2293,7.4685,NA,NA,NA,NA,NA,NA,NA,NA,7.2604,7.2397,7.736,7.3563,6.7704,7.1731,7.4317,65.5843
Hobe Sound,FL,Private,NA,NA,NA,176,179,179,NA,146,NA,157,McArthur Golf Club,7.3908,7.4319,7.2527,7.2942,7.2595,7.3547,7.7372,7.3661,7.3175,7.2751,7.1597,7.3632,7.7806,7.5521,59.180400000000006,7.3779,7.4429,7.2628,7.2622,7.3016,7.3552,7.793,NA
Montgomery,TX,Private,NA,NA,NA,NA,124,139,NA,139,NA,158,Bluejack National,7.3481,7.4827,7.0998,7.3474,7.6924,7.5049,7.6515,7.4704,7.3022,7.4955,7.5298,7.6442,7.7702,7.7657,60.4484,7.3412,7.5561,7.1171,7.3573,7.6978,7.5191,7.697,66.9841
Scottsdale,AZ,Private,NA,NA,NA,167,156,143,NA,NA,2006,159,Whisper Rock Golf Club (Upper),7.2008,7.5829,7.2483,7.28,7.4159,7.602,7.7308,7.3011,7.3314,7.2844,7.339,7.5675,7.7404,7.7573,59.6222,7.2541,7.6838,7.2626,7.2874,7.4131,7.568,7.7407,66.7512
Coeur D Alene,ID,Private,NA,NA,NA,84,105,141,NA,145,2003,160,The Golf Club at Black Rock,7.3156,7.3695,7.273,7.3747,7.3854,7.6938,7.3985,7.4806,7.4284,7.6301,7.7918,7.9213,7.6077,7.6023,60.942800000000005,7.2479,7.3086,7.2349,7.3039,7.3999,7.6443,7.3699,66.0612
Sea Island,GA,Private,NA,NA,NA,138,160,162,NA,144,1995,161,Ocean Forest Golf Club,7.2882,7.4225,7.4254,7.2564,7.2661,7.6356,7.5042,7.3059,7.5184,7.2487,7.3288,7.6289,7.4893,7.6687,59.494600000000005,7.2644,7.5363,7.4799,7.2341,7.2885,7.5687,7.4727,66.34309999999999
Johns Creek,GA,Private,NA,NA,NA,125,136,148,NA,152,1971,162,Atlanta Athletic Club (Highlands),7.3504,7.4347,7.5485,7.2814,7.209,7.305,7.5238,7.4868,7.6299,7.3346,7.3528,7.3737,7.7179,7.6732,60.0557,7.3635,7.5322,7.5123,7.2593,7.1723,7.3162,7.5307,66.3093
Deal,NJ,Private,83,89,75,NA,NA,170,NA,139,1898,163,Hollywood Golf Club,7.3406,7.5024,7.2383,7.3875,7.547,7.3309,7.5448,NA,NA,NA,NA,NA,NA,NA,NA,7.2977,7.2926,7.1348,7.2343,7.4626,7.2791,7.4671,65.7002
Bayonne,NJ,Private,NA,NA,NA,143,158,177,NA,145,NA,164,Bayonne Golf Club,7.28,7.4799,7.4524,7.3856,7.1881,7.461,7.3605,7.3482,7.4988,7.4581,7.5135,7.5128,7.4123,7.4362,59.5281,7.2191,7.3435,7.3614,7.3492,7.0708,7.3935,7.2369,NA
Nekoosa,WI,Public,96,NA,NA,NA,152,158,25,NA,2018,165,Sand Valley (Mannoth Dunes),7.3683,7.4987,6.9146,7.4485,7.7685,7.5306,7.4379,7.4043,6.9105,7.552,7.6419,7.6874,7.4442,7.6439,59.6885,7.3426,7.5538,6.9389,7.4643,7.7875,7.5484,7.4517,66.8941
Bowling Green,FL,Public,95,92,NA,124,148,151,26,131,2011,166,Streamsong Blue,7.3479,7.4518,7.22,7.4363,7.4475,7.41,7.3449,7.3916,7.3449,7.533,7.5259,7.5301,7.5223,7.5327,59.772099999999995,7.3607,7.5048,7.2618,7.4772,7.4561,7.4559,7.414,66.7684
Bandon,OR,Public,80,97,NA,NA,NA,115,27,NA,NA,167,Sheep Ranch,7.2894,7.6448,6.9726,7.3809,7.8118,7.9744,7.0441,NA,NA,NA,NA,NA,NA,NA,NA,7.4073,7.7777,7.0718,7.481,7.8657,7.9874,7.1772,67.6564
Absecon,NJ,Private,NA,NA,NA,117,131,165,NA,146,1994,168,Galloway National Golf Club,7.3806,7.2256,7.5981,7.3095,7.1732,7.4114,7.3381,7.5337,7.7043,7.5356,7.413,7.5519,7.5602,7.3338,60.1662,7.3512,7.196,7.4894,7.285,7.0483,7.3206,7.3249,65.6516
Saint Louis,MO,Private,NA,NA,NA,118,165,169,NA,146,1960,169,Bellerive Country Club,7.3575,7.4263,7.5475,7.2695,7.2553,7.2685,7.436,7.4234,7.6325,7.3359,7.2866,7.2969,7.4651,7.5213,59.385099999999994,7.4122,7.4706,7.6483,7.1972,7.2585,7.2979,7.422,66.31609999999999
Hilton Head Island,SC,Public,73,63,69,127,142,160,28,148,NA,170,Harbour Town Golf Links,7.3666,7.4387,7.4294,7.3201,7.2832,7.3322,7.3541,7.5759,7.5536,7.4852,7.5657,7.4201,7.3177,7.4136,59.9077,7.3893,7.4295,7.4605,7.3365,7.2989,7.3455,7.3429,66.3289
Sammamish,WA,Private,NA,NA,NA,153,140,147,NA,147,NA,171,Aldarra Golf Club,7.3105,7.2905,7.404,7.376,7.1867,7.4315,7.4211,7.3944,7.5168,7.5237,7.4568,7.5539,7.6274,7.4869,59.954299999999996,7.3374,7.3148,7.4544,7.4273,7.182,7.5055,7.4734,66.4595
Meadows of Dan,VA,Public,NA,NA,NA,149,151,155,29,NA,NA,172,The Highland Course At Primland,7.2608,7.2281,7.3393,7.3415,7.094,7.7036,7.4322,7.2527,7.3696,7.4546,7.6186,7.8964,7.5466,7.337,59.7282,7.2151,7.2907,7.3361,7.3936,6.9563,7.694,7.4406,65.9351
Pinehurst,NC,Public,NA,NA,88,NA,NA,NA,30,NA,NA,173,Pinehurst No. 10,7.3908,7.3642,7.2576,7.4194,7.3946,7.2517,7.352,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Beaufort,SC,Private,NA,NA,NA,165,164,159,NA,140,NA,174,Secession Golf Club,7.2127,7.6146,7.1824,7.2902,7.4515,7.5182,7.5138,7.2337,7.2009,7.3684,7.3939,7.5735,7.5522,7.8647,59.421,7.2429,7.6734,7.1949,7.2748,7.426,7.4571,7.4625,66.2493
Water Mill,NY,Private,NA,NA,NA,NA,NA,175,NA,142,1992,175,Atlantic Golf Club,7.2914,7.3455,7.2756,7.2108,7.2228,7.4266,7.7811,NA,NA,NA,NA,NA,NA,NA,NA,7.2821,7.3959,7.3086,7.1664,7.2172,7.3812,7.7405,NA
Scottsdale,AZ,Private,NA,NA,NA,172,188,174,NA,147,2001,176,Whisper Rock Golf Club (Lower),7.225,7.5625,7.3499,7.1876,7.2994,7.338,7.7417,7.2478,7.3231,7.1563,7.0496,7.3346,7.7751,7.8614,58.9957,7.2352,7.6301,7.3201,7.1703,7.2883,7.3339,7.7007,NA
Diggs,ID,Private,NA,NA,NA,NA,153,199,NA,150,NA,177,Tributary,7.3143,7.2399,7.4384,7.3611,7.1447,7.3408,7.4463,7.427,7.6042,7.5077,7.3802,7.4216,7.6816,7.2357,59.685,7.3244,7.1991,7.314,7.3324,7.1026,7.279,7.3786,NA
Brewster,WA,Public,61,82,100,NA,183,183,31,120,NA,178,Gamble Sands,7.4513,7.3279,6.7921,7.4353,7.8208,7.4917,7.4198,7.3338,6.7865,7.4277,7.5238,7.6445,7.5631,7.4858,59.099,7.3218,7.3149,6.7204,7.415,7.8091,7.4791,7.4759,NA
Rhodes,IA,Private,NA,NA,NA,NA,NA,197,NA,140,2000,179,The Harvester Club,7.3082,7.2485,7.4286,7.2976,7.1464,7.2125,7.6899,NA,NA,NA,NA,NA,NA,NA,NA,7.3094,7.22,7.421,7.2854,7.1047,7.1895,7.6888,NA
Beachwood,OH,Private,NA,NA,NA,NA,181,192,NA,140,1922,180,Canterbury Golf Club,7.3411,7.4832,7.3194,7.3101,7.3706,7.1704,7.5023,7.3462,7.3993,7.4048,7.28,7.164,7.5761,7.6019,59.1185,7.287,7.456,7.3261,7.3167,7.3197,7.1663,7.5178,NA
Big Sky,MT,Private,NA,NA,NA,NA,NA,176,NA,NA,NA,181,The Reserve at Moonlight Basin,7.2041,7.3024,7.4512,7.3041,7.1858,7.7834,7.2049,NA,NA,NA,NA,NA,NA,NA,NA,7.2235,7.335,7.4769,7.3233,7.0926,7.8106,7.2422,NA
Fort Worth,TX,Private,NA,NA,NA,146,161,184,NA,133,NA,182,Colonial Country Club,7.3473,7.574,7.4602,7.2834,7.2149,7.1253,7.3243,7.4843,7.4096,7.3935,7.408,7.2103,7.3557,7.7159,59.4616,7.3309,7.4658,7.4557,7.2402,7.1585,7.0626,7.2644,NA
Siaconset,MA,Private,NA,NA,92,NA,NA,196,NA,126,1923,183,Sankaty Head Golf Club,7.223,7.6347,7.1099,7.2045,7.5991,7.719,7.4181,NA,NA,NA,NA,NA,NA,NA,NA,7.0862,7.6401,7.0454,7.152,7.5976,7.6765,7.4609,NA
Gretna,NE,Private,NA,NA,NA,NA,NA,NA,NA,NA,NA,184,Lost Rail Golf Club,7.2963,7.2894,7.2858,7.3504,7.2842,7.3249,7.5311,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hamilton,MT,Private,NA,NA,NA,NA,NA,NA,NA,NA,NA,185,Stock Farm Club,7.2709,7.294,7.2411,7.2925,7.29,7.6001,7.4246,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Thousand Oaks,CA,Private,NA,NA,NA,NA,180,187,NA,144,1989,186,Sherwood Country Club,7.2315,7.3186,7.2982,7.2802,7.2803,7.5631,7.4768,7.2794,7.3287,7.3211,7.3656,7.5798,7.5142,7.4559,59.1241,7.1943,7.304,7.2507,7.2279,7.2329,7.5124,7.4548,NA
Maxwell,NE,Private,NA,NA,NA,NA,NA,NA,NA,NA,NA,187,GrayBull Club,7.3247,7.3437,7.0889,7.3389,7.409,7.4516,7.4682,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hobe Sound,FL,Private,NA,NA,NA,NA,NA,181,NA,142,1995,188,Medalist Golf Club,7.167,7.3335,7.5706,7.2121,7.009,7.2111,7.7715,NA,NA,NA,NA,NA,NA,NA,NA,7.2342,7.4936,7.5565,7.1222,7.0951,7.1767,7.8185,NA
Greenwich,CT,Private,NA,NA,NA,150,159,173,NA,143,1962,189,The Stanwich Club,7.309,7.2444,7.523,7.1721,7.0236,7.1484,7.7619,7.3869,7.6515,7.2796,7.1937,7.2954,7.8152,7.4895,59.4987,7.3047,7.2688,7.5973,7.169,6.9919,7.1744,7.812,NA
Pinehurst,NC,Public,92,100,NA,NA,162,171,32,138,NA,190,Pinehurst No. 4,7.3259,7.4027,7.282,7.327,7.3075,7.3261,7.2861,7.394,7.3811,7.4456,7.3565,7.4446,7.368,7.6736,59.4574,7.3177,7.4683,7.2812,7.3186,7.3252,7.3166,7.313,NA
Bowling Green,FL,Public,NA,NA,NA,NA,169,178,33,135,2017,191,Streamsong Black,7.3121,7.3617,7.2087,7.3801,7.3256,7.2649,7.3516,7.3847,7.3121,7.4913,7.4312,7.3351,7.5156,7.4588,59.31349999999999,7.3393,7.4147,7.2331,7.3829,7.359,7.2842,7.3792,NA
Bridgman,MI,Private,NA,NA,NA,141,186,190,NA,138,NA,192,Lost Dunes Golf Club,7.3136,7.2907,7.2438,7.3614,7.3016,7.4004,7.2799,7.3628,7.3086,7.4252,7.42,7.4344,7.351,7.3489,59.0137,7.2807,7.306,7.1633,7.3796,7.2829,7.3767,7.2078,NA
Park City,UT,Private,NA,NA,NA,168,182,168,NA,141,NA,193,Glenwild Golf Club,7.2359,7.3293,7.3069,7.1973,7.3968,7.5457,7.4871,7.2872,7.3355,7.2923,7.3183,7.5147,7.5676,7.4996,59.102399999999996,7.3019,7.3709,7.3215,7.236,7.4245,7.551,7.4973,66.241
Dallas,TX,Private,NA,NA,NA,NA,NA,NA,NA,NA,NA,194,Brook Hollow Golf Club,7.3249,7.3949,7.3026,7.2873,7.3462,7.1034,7.5097,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Palm Beach Gardens,FL,Private,NA,NA,NA,NA,NA,NA,NA,NA,NA,195,Panther National,7.3793,7.1385,7.3835,7.4188,7.2688,6.9522,7.449,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sammamish,WA,Private,NA,NA,NA,98,146,172,NA,NA,NA,196,Sahalee Country Club,7.2104,7.4086,7.5186,7.1215,7.1313,7.4711,7.4474,7.4431,7.4661,7.2679,7.4455,7.6229,7.5775,7.5722,59.838300000000004,7.2876,7.4555,7.4787,7.1664,7.1152,7.4782,7.4298,NA
Fairfax,CA,Private,NA,NA,NA,193,NA,NA,NA,NA,NA,197,Meadow Club,7.2334,7.5093,7.021,7.3092,7.5133,7.5006,7.3889,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Johns Island,SC,Private,NA,NA,NA,137,150,166,NA,147,2000,198,Kiawah Island Club (Cassique),7.2508,7.3759,7.2439,7.3663,7.3091,7.4137,7.217,7.4159,7.318,7.5764,7.4261,7.5634,7.4271,7.6053,59.7481,7.3154,7.4873,7.2443,7.4545,7.3927,7.528,7.2929,66.485
Kingston Springs,TN,Private,NA,NA,NA,158,167,167,NA,144,1991,199,The Golf Club Of Tennessee,7.2709,7.3677,7.2753,7.2784,7.2608,7.4654,7.277,7.3536,7.3921,7.3625,7.4084,7.5471,7.4118,7.5226,59.351699999999994,7.2488,7.4543,7.3024,7.2675,7.2722,7.4798,7.3372,65.87849999999999
Indian Wells,CA,Private,NA,NA,NA,NA,196,NA,NA,NA,NA,200,The Vintage Club (Mountain),7.1311,7.3557,7.0458,7.1775,7.3574,7.705,7.7585,7.2048,7.0595,7.2571,7.2689,7.69,7.7555,7.3608,58.801399999999994,NA,NA,NA,NA,NA,NA,NA,NA
Mountain Brook,AL,Private,NA,NA,NA,173,200,NA,NA,NA,NA,NA,Country Club Of Birmingham (West),NA,NA,NA,NA,NA,NA,NA,7.3068,7.4012,7.3071,7.2495,7.2364,7.5002,7.4225,58.7305,NA,NA,NA,NA,NA,NA,NA,NA
Carefree,AZ,Private,NA,NA,NA,197,NA,NA,NA,NA,NA,NA,Desert Forest Golf Club,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Scottsdale,AZ,Private,NA,NA,NA,182,NA,NA,NA,NA,NA,NA,Desert Highlands Golf Club,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Peoria,AZ,Public,NA,NA,NA,NA,NA,NA,93,148,NA,NA,Quintero Golf Club,6.931,6.9267,7.0607,6.8555,6.9724,7.1819,7.0743,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tuscon,AZ,Private,NA,NA,NA,155,184,182,NA,140,2000,NA,The Stone Canyon Club,NA,NA,NA,NA,NA,NA,NA,7.2441,7.3031,7.3487,7.4135,7.6526,7.5406,7.3343,59.080999999999996,7.2375,7.2677,7.2219,7.2486,7.1765,7.4986,7.3534,NA
San Martin,CA,Private,NA,NA,NA,187,NA,NA,52,146,NA,NA,CordeValle Golf Club,7.1041,7.1033,7.1102,7.1204,7.2215,7.3197,7.288,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Daly City,CA,Private,54,60,59,NA,NA,NA,NA,NA,NA,NA,Olympic (Lake),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
La Quinta,CA,Public,NA,NA,NA,194,NA,NA,62,148,NA,NA,PGA West (TPC Stadium),7.1758,7.0306,7.5124,7.0804,6.8686,6.8863,6.9493,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Irvine,CA,Private,NA,NA,NA,200,NA,NA,NA,NA,NA,NA,Shady Canyon,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rancho Santa Fe,CA,Private,NA,NA,NA,NA,192,NA,NA,NA,NA,NA,The Bridges at Rancho Santa Fe,NA,NA,NA,NA,NA,NA,NA,7.195,7.1525,7.2506,7.3935,7.6524,7.5227,7.4896,58.85130000000001,NA,NA,NA,NA,NA,NA,NA,NA
Pebble Beach,CA,Public,NA,NA,NA,189,NA,NA,54,140,NA,NA,The Links At Spanish Bay,7.0587,7.1538,7.1647,7.0746,7.146,7.4933,7.094,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
La Jolla,CA,Public,NA,NA,NA,166,198,NA,40,148,1957,NA,Torrey Pines Golf Course (South),7.1789,7.197,7.6164,7.0582,7.1276,7.551,7.1239,7.3157,7.6569,7.0979,7.433,7.6518,7.0411,7.2561,58.76819999999999,NA,NA,NA,NA,NA,NA,NA,NA
La Quinta,CA,Private,NA,NA,NA,NA,187,189,NA,140,NA,NA,Tradition Golf Club,NA,NA,NA,NA,NA,NA,NA,7.2508,6.9958,7.3309,7.4086,7.6377,7.6454,7.4834,59.0034,7.0716,7.3236,6.8466,7.1499,7.3482,7.5658,7.5893,NA
Wolcott,CO,Public,NA,NA,NA,NA,NA,NA,71,134,NA,NA,Red Sky Ranch & Golf Club Fazio Course,6.9468,7.0174,6.8972,7.0391,7.1052,7.4178,7.0036,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Wolcott,CO,Public,NA,NA,NA,NA,NA,NA,87,147,2003,NA,Red Sky Ranch & Golf Club Norman Course,6.8647,7.0257,7.0356,6.8877,6.9315,7.3009,7.0036,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sedalia,CO,Private,NA,NA,NA,152,NA,NA,NA,NA,NA,NA,Sanctuary,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Colorado Springs,CO,Public,NA,NA,NA,169,199,NA,47,139,NA,NA,The Broadmoor Golf Club (East,7.1392,7.2714,7.2562,7.0757,7.1751,7.3174,7.3398,7.2329,7.3425,7.1661,7.3283,7.5502,7.3813,7.501,58.735200000000006,NA,NA,NA,NA,NA,NA,NA,NA
