City,State,Status,GOLF2020Rank,GOLF2022Rank,GOLF2024Rank,GD2018Rank,GD2021Rank,GD2023Rank,GD2025PublicRank,Slope,Year,GD2025Rank,Course,GD2025ShotOptions,GD2025Character,GD2025Challenge,GD2025LayoutVariety,GD2025Fun,GD2025Aesthetics,GD2025Conditioning,GD2021ShotOptions,GD2021Challenge,GD2021LayoutVariety,GD2021Destinctiveness,GD2021Aesthetics,GD2021Conditioning,GD2021Character,GD2021Score,GD2023ShotOptions,GD2023Character,GD2023Challenge,GD2023LayoutVariety,GD2023Fun,GD2023Aesthetics,GD2023Conditioning,GD2023Score
New Haven,CT,Public,NA,NA,NA,177,NA,NA,NA,NA,NA,NA,The Course At Yale,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
New Haven,CT,Public,NA,NA,NA,NA,NA,NA,38,135,1926,NA,Yale Golf Course,7.4694,7.3738,7.2819,7.7201,7.3784,7.0362,6.1152,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Wilmington,DE,Private,NA,NA,NA,195,NA,NA,NA,NA,NA,NA,Wilmington Country Club (South,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lecanto,FL,Private,NA,NA,NA,163,185,NA,NA,NA,NA,NA,Black Diamond Ranch (Quarry,NA,NA,NA,NA,NA,NA,NA,7.3298,7.2757,7.5541,7.699,7.6017,7.093,7.159,59.0421,NA,NA,NA,NA,NA,NA,NA,NA
Brooksville,FL,Public,NA,NA,NA,NA,NA,NA,50,NA,2024,NA,Cabot Citrus Farms: Karoo,7.2934,7.1316,7.2069,7.1795,7.3379,7.0518,7.0201,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hobe Sound,FL,Private,NA,NA,NA,198,NA,NA,NA,NA,NA,NA,Loblolly Golf Club,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lake Wales,FL,Private,NA,NA,NA,NA,174,193,NA,135,1916,NA,Mountain Lake Golf Course,NA,NA,NA,NA,NA,NA,NA,7.2826,6.9921,7.6073,7.5684,7.3738,7.4964,7.6278,59.231,7.2655,7.5531,7.0089,7.4984,7.6058,7.2149,7.4276,NA
Jacksonville,FL,Private,NA,NA,NA,186,NA,NA,NA,NA,NA,NA,Pablo Creek Club,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Boynton Beach,FL,Private,NA,NA,NA,190,NA,NA,NA,NA,NA,NA,Pine Tree Golf Club,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jupiter,FL,Private,NA,NA,NA,NA,NA,180,NA,153,1999,NA,The Bear's Club,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.3201,7.3313,7.5696,7.2232,7.0713,7.2788,7.688,NA
West Palm Beach,FL,Public,NA,NA,NA,NA,NA,NA,89,NA,2023,NA,The Park at West Palm Beach,7.0898,7.0456,6.7647,7.0333,7.4259,6.7533,7.0391,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
West Palm Beach,FL,Private,NA,NA,NA,156,195,NA,NA,NA,NA,NA,Trump International Golf Club (Championship),NA,NA,NA,NA,NA,NA,NA,7.2103,7.3522,7.2647,7.3542,7.5733,7.6359,7.2158,58.816700000000004,NA,NA,NA,NA,NA,NA,NA,NA
Miami,FL,Public,NA,NA,NA,NA,NA,NA,86,146,NA,NA,Trump National Doral: Blue Monster,6.9876,6.8393,7.3582,6.9206,7.7229,6.8302,7.0742,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Marietta,GA,Private,NA,NA,NA,170,194,NA,NA,NA,NA,NA,Atlanta Country Club,NA,NA,NA,NA,NA,NA,NA,7.2841,7.2611,7.4469,7.3207,7.3991,7.36,7.4849,58.84089999999999,NA,NA,NA,NA,NA,NA,NA,NA
Eatonton,GA,Public,NA,NA,NA,NA,NA,NA,99,134,NA,NA,Reynolds Lake Oconee: Great Waters,6.9511,6.8755,6.863,6.9271,6.945,7.1478,6.9686,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Saint Simons Island,GA,Public,NA,NA,NA,160,176,NA,45,137,NA,NA,Sea Island Golf Club (Seaside),7.1377,7.2887,7.1374,7.1104,7.1729,7.4692,7.287,7.2755,7.2682,7.3086,7.4236,7.6041,7.4812,7.5714,59.2081,NA,NA,NA,NA,NA,NA,NA,NA
Princeville,HI,Public,NA,NA,NA,NA,NA,NA,73,134,NA,NA,Makai Golf Club,6.9526,6.9207,6.8507,7.0339,7.257,7.4881,6.9866,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kamuela,HI,Public,NA,NA,NA,151,149,NA,43,144,1964,NA,Mauna Kea Golf Course,7.2243,7.0915,7.3218,7.2379,7.1559,7.5202,6.8739,7.4593,7.5648,7.4445,7.6131,7.7735,7.1826,7.2687,59.765800000000006,NA,NA,NA,NA,NA,NA,NA,NA
Ewa Beach,HI,Private,NA,NA,NA,109,NA,NA,NA,NA,NA,NA,The Prince Golf Course,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pleasant Valley,IA,Private,NA,95,NA,NA,NA,NA,NA,NA,NA,NA,Davenport,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Driggs,ID,Private,NA,NA,NA,134,NA,NA,NA,NA,NA,NA,Huntsman Springs Golf Club,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lemont,IL,Public,NA,NA,NA,NA,NA,NA,76,151,1963,NA,Cog Hill Golf & Country Club: Dubsdread #4,7.0759,6.835,7.4689,6.9774,6.7816,7.8464,6.929,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lake Forest,IL,Private,NA,NA,NA,174,NA,NA,NA,NA,NA,NA,Conway Farms Golf Club,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Olympia Fields,IL,Private,NA,NA,NA,188,NA,NA,NA,NA,NA,NA,Olympia Fields Country Club (South),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bloomington,IN,Public,NA,NA,NA,NA,NA,NA,97,132,2019,NA,The Pfau Course at Indiana University,7.0028,6.7301,7.5848,6.9359,6.4868,6.7294,6.7451,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Williamstown,MA,Public,NA,NA,NA,NA,NA,NA,78,136,1896,NA,Taconic Golf Club,6.9627,7.056,7.0084,7.0899,7.124,7.0681,6.9022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Arcadia,MI,Public,NA,NA,NA,NA,NA,NA,53,132,2018,NA,Arcadia Bluffs South Course,7.215,7.1858,7.1627,7.1662,7.2699,6.8086,7.3368,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bay Harbor,MI,Public,NA,NA,NA,NA,NA,NA,100,NA,1996,NA,Bay Harbor Golf Club: Links/Quarry,6.8238,6.8486,6.9296,7.0133,6.8596,7.3054,8.8282,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Roscommon,MI,Public,NA,NA,NA,135,163,NA,37,146,NA,NA,Forest Dunes Golf Club,7.241,7.1732,7.31,7.286,7.3044,7.2784,7.3811,7.3939,7.3952,7.4435,7.3673,7.4772,7.6498,7.3357,59.456500000000005,NA,NA,NA,NA,NA,NA,NA,NA
Marquette,MI,Public,NA,NA,NA,NA,NA,NA,55,147,NA,NA,Greywalls at Marquette Golf Club,7.0186,6.9098,7.1244,7.3018,6.8449,7.3867,7.0234,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Brenton Harbor,MI,Private,NA,NA,NA,185,NA,NA,NA,NA,NA,NA,Point O' Woods Golf & Country Club,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Roscommon,MI,Public,NA,NA,NA,NA,NA,NA,63,NA,2018,NA,The Loop: Black,7.1865,7.3073,6.9908,7.168,7.3534,6.7988,7.2985,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Roscommon,MI,Public,NA,NA,NA,NA,NA,NA,68,NA,2016,NA,The Loop: Red,7.0963,7.268,6.9664,7.0599,7.3015,6.7109,7.2028,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Stanwood,MI,Public,NA,NA,NA,NA,NA,NA,70,150,NA,NA,Tullymore Golf Resort,7.0594,6.9352,7.1995,7.042,6.9226,6.9946,7.0051,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Brainerd,MN,Public,NA,NA,NA,NA,NA,NA,80,148,1997,NA,Madden's on Gull Lake: The Classic,6.9369,6.932,7.1133,6.946,6.8684,7.2788,6.9265,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Biwabik,MN,Public,NA,NA,NA,NA,NA,NA,58,139,NA,NA,The Quarry at Giants Ridge,7.1456,7.0227,7.0285,7.2803,7.1267,7.2513,6.8556,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tower,MN,Public,NA,NA,NA,NA,NA,NA,72,142,2005,NA,The Wilderness at Fortune Bay,7.1268,6.7636,6.9606,7.1703,7.0655,7.0765,6.8484,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
White Bear Lake,MN,Private,76,71,86,191,NA,NA,NA,NA,NA,NA,White Bear Yacht Club,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hollister,MO,Public,NA,NA,NA,NA,NA,NA,94,130,1999,NA,Big Cedar Lodge: Buffalo Ridge,6.9416,9.9526,6.9113,7.0038,7.0824,7.1621,6.8499,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hollister,MO,Public,NA,NA,NA,NA,NA,NA,81,NA,NA,NA,Big Cedar Lodge: Payne's Valley,6.9309,7.0243,6.7961,6.9109,7.2942,7.3418,7.1343,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hollister,MO,Public,NA,NA,NA,NA,155,NA,46,NA,NA,NA,Ozarks National Golf Club,7.2039,7.1658,7.1141,7.2025,7.177,7.3291,7.2502,7.405,7.2936,7.4321,7.4327,7.6552,7.5366,7.4655,59.625699999999995,NA,NA,NA,NA,NA,NA,NA,NA
Saucier,MS,Public,NA,NA,NA,178,NA,NA,48,142,NA,NA,Fallen Oak Golf Club,7.1155,7.1828,7.2334,7.2146,7.1912,7.2947,7.2387,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
West Point,MS,Public,NA,NA,NA,NA,NA,NA,82,135,2016,NA,Mossy Oak Golf Club,7.0407,6.971,6.9608,7.0967,7.0791,6.7873,6.9636,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Eureka,MT,Public,NA,NA,NA,NA,NA,NA,57,146,NA,NA,Wilderness Club,7.1358,7.0422,7.1217,7.1139,7.03,7.3224,7.0446,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Charlotte,NC,Private,NA,NA,NA,161,172,195,NA,136,NA,NA,Charlotte Country Club,NA,NA,NA,NA,NA,NA,NA,7.3791,7.3578,7.3698,7.2865,7.275,7.5703,7.6483,59.265899999999995,7.2046,7.4262,7.2918,7.2944,7.2574,7.26,7.5295,NA
Linville,NC,Private,NA,NA,NA,121,144,154,NA,142,1967,NA,Grandfather Golf & Country Club,NA,NA,NA,NA,NA,NA,NA,7.3601,7.3607,7.4234,7.479,7.7596,7.5583,7.5793,59.8805,7.3352,7.455,7.3065,7.2874,7.3828,7.6408,7.4668,66.4971
Southern Pines,NC,Public,NA,NA,NA,NA,NA,NA,88,130,1921,NA,Mid Pines Inn & Golf Club,6.9678,7.14,6.8645,7.0408,7.2088,7.0025,6.833,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Southern Pines,NC,Public,NA,NA,NA,NA,NA,NA,60,135,NA,NA,Pine Needles Lodge & Golf Club,7.1323,7.2317,7.1018,7.1506,7.191,7.0389,6.9965,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Southern Pines,NC,Public,NA,NA,NA,NA,NA,NA,98,129,1907,NA,Southern Pines Golf Club,7.0094,7.0558,6.9097,7.0374,7.0934,6.868,6.7411,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sanford,NC,Public,NA,NA,NA,NA,NA,NA,44,145,NA,NA,Tobacco Road Golf Club,7.306,7.3071,7.0141,7.3824,7.3236,7.189,6.84,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mullen,NE,Private,NA,NA,NA,131,154,185,NA,NA,NA,NA,Dismal River Club (Red),NA,NA,NA,NA,NA,NA,NA,7.4473,7.2816,7.5943,7.4916,7.5551,7.3008,7.5199,59.63790000000001,7.3055,7.3665,7.1857,7.3402,7.3232,7.3684,6.8593,NA
Valentine,NE,Public,82,94,NA,184,NA,NA,36,133,NA,NA,The Prairie Club (Dunes),7.2932,7.2608,7.1974,7.2845,7.4398,7.3954,7.2939,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Valentine,NE,Public,NA,NA,NA,NA,NA,NA,90,129,NA,NA,The Prairie Club (Pines),6.9205,6.9267,6.8879,6.9757,7.0348,7.1047,7.1284,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gothenburg,NE,Public,NA,NA,NA,NA,NA,NA,84,133,NA,NA,Wild Horse Golf Club,7.0395,6.9752,6.8754,6.9349,7.2669,6.8741,7.2731,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jersey City,NJ,Private,NA,NA,NA,NA,197,194,NA,155,2006,NA,Liberty National Golf Club,NA,NA,NA,NA,NA,NA,NA,7.1426,7.364,7.1657,7.4268,7.5958,7.6169,7.3227,58.7771,7.1777,7.2891,7.2882,7.246,7.1565,7.51,7.4301,NA
West Caldwell,NJ,Private,90,NA,NA,NA,NA,NA,NA,NA,NA,NA,Mountain Ridge,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ringoes,NJ,Private,NA,NA,NA,NA,189,NA,NA,NA,NA,NA,The Ridge at Back Brook,NA,NA,NA,NA,NA,NA,NA,7.2041,7.3219,7.1999,7.2899,7.5436,7.8777,7.3365,58.9777,NA,NA,NA,NA,NA,NA,NA,NA
Espanola,NM,Public,NA,NA,NA,NA,NA,NA,85,137,2003,NA,Black Mesa Golf Club,6.9857,6.8756,7.1588,7.1786,6.9493,7.0987,6.4742,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sandia Park,NM,Public,NA,NA,NA,NA,NA,NA,56,NA,2000,NA,Paako Ridge Golf Club,7.1144,7.0119,7.2139,7.1291,6.9835,7.2953,7.0684,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Boulder City,NV,Public,NA,NA,NA,NA,NA,NA,74,150,NA,NA,Cascata,6.9384,7.086,7.0706,6.8465,7.027,7.331,7.1592,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Stateline,NV,Public,NA,NA,NA,NA,NA,NA,83,145,1968,NA,Edgewood Tahoe Golf Course,6.8733,6.9866,6.8857,6.811,7.1199,7.3815,7.33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Las Vegas,NV,Private,NA,NA,NA,162,191,161,NA,145,NA,NA,Southern Highlands Golf Club,NA,NA,NA,NA,NA,NA,NA,7.2568,7.2653,7.2531,7.3512,7.5681,7.5396,7.4194,58.91030000000001,7.23,7.3856,7.234,7.2482,7.1606,7.4916,7.5465,65.7747
Mesquite,NV,Public,NA,NA,NA,196,NA,NA,59,154,NA,NA,Wolf Creek Golf Club,7.0412,6.949,7.2122,7.194,6.9409,7.4819,6.8305,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Reno,NV,Private,NA,NA,NA,180,NA,NA,NA,NA,NA,NA,Wolf Run Golf Club,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Las Vegas,NV,Public,NA,NA,NA,NA,NA,NA,67,NA,2005,NA,Wynn Golf Club,6.9155,7.1123,6.7437,6.9208,7.3452,7.4105,7.5572,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Queensbury,NY,Private,86,83,NA,NA,NA,NA,NA,NA,NA,NA,Glens Falls,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Canton,OH,Private,NA,96,NA,NA,NA,NA,NA,NA,NA,NA,Brookside,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Akron,OH,Public,NA,NA,NA,NA,NA,NA,91,132,NA,NA,FIrestone Country Club: South,6.9711,6.9369,7.4377,6.6751,6.7257,6.9015,7.262,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Stillwater,OK,Public,NA,NA,NA,NA,NA,186,NA,152,NA,NA,Karsten Creek Golf Club,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.428,7.247,7.8805,7.302,6.9114,7.1272,7.403,NA
Sunriver,OR,Public,NA,NA,NA,NA,NA,NA,69,145,NA,NA,Crosswater Golf Course,6.9869,7.0269,7.0566,6.9832,6.9775,7.2307,7.1411,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Eugene,OR,Private,NA,NA,NA,128,171,NA,NA,NA,NA,NA,Eugene Country Club,NA,NA,NA,NA,NA,NA,NA,7.394,7.3021,7.2349,7.3454,7.4851,7.6426,7.47,59.268100000000004,NA,NA,NA,NA,NA,NA,NA,NA
Bend,OR,Private,NA,NA,NA,181,NA,NA,NA,NA,NA,NA,Pronghorn Club (Fazio),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bend,OR,Public,NA,NA,NA,171,190,NA,41,151,NA,NA,Pronghorn Club (Nicklaus),7.1484,7.1323,7.3108,7.1835,7.0422,7.2402,7.4491,7.2457,7.4311,7.3404,7.2441,7.3915,7.6944,7.3363,58.9292,NA,NA,NA,NA,NA,NA,NA,NA
Bend,OR,Public,NA,NA,NA,NA,NA,NA,61,144,NA,NA,Tetherow Golf Club,7.0949,6.9275,7.3077,7.1292,6.7214,7.0868,7.1576,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Farmington,PA,Public,NA,NA,NA,NA,NA,NA,64,149,NA,NA,Nemacolin: Mystic Rock,7.0531,6.909,7.2521,7.0706,6.9765,7.1684,7.1482,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Johns Island,SC,Private,NA,NA,NA,175,193,200,NA,148,1995,NA,Kiawah Island Club (River),NA,NA,NA,NA,NA,NA,NA,7.358,7.3837,7.257,7.2173,7.4177,7.3388,7.5138,58.84429999999999,7.3086,7.4662,7.321,7.1735,7.1584,7.4024,7.2047,NA
Hilton Head Island,SC,Private,NA,NA,NA,148,173,188,NA,141,1981,NA,Long Cove Club,NA,NA,NA,NA,NA,NA,NA,7.4277,7.3934,7.4706,7.3936,7.3152,7.4452,7.3759,59.2493,7.4103,7.2759,7.3268,7.4385,7.2278,7.2645,7.3684,NA
Bluffton,SC,Private,NA,NA,NA,179,NA,NA,NA,NA,NA,NA,May River Golf Club At Palmetto Bluff,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aiken,SC,Private,93,99,NA,NA,NA,NA,NA,NA,NA,NA,Palmetto,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Graniteville,SC,Private,NA,NA,NA,122,NA,153,NA,146,NA,NA,Sage Valley Golf Club,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.2834,7.493,7.3117,7.264,7.325,7.6532,7.57,66.4477
Myrtle Beach,SC,Public,NA,NA,NA,NA,NA,NA,79,148,NA,NA,The Dunes Golf & Beach Club,7.0188,6.9991,7.118,6.9271,6.8875,6.9505,7.1474,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Collierville,TN,Private,NA,NA,NA,164,168,198,NA,145,NA,NA,Spring Creek Ranch Golf Club,NA,NA,NA,NA,NA,NA,NA,7.4316,7.5092,7.3748,7.2798,7.4007,7.5298,7.3908,59.3483,7.364,7.3559,7.395,7.2675,7.1242,7.3039,7.2216,NA
Frisco,TX,Public,NA,NA,NA,NA,NA,NA,77,NA,2023,NA,Fields Ranch PGA of America Frisco: West Course,7.0297,6.915,7.0065,7.0804,7.1684,6.8312,7.1982,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Frisco,TX,Public,NA,NA,NA,NA,NA,NA,34,NA,2023,NA,Fields Ranch PGA of America Frisco: East Course,7.3192,7.1275,7.6173,7.3249,6.9595,6.9789,7.3472,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
San Antonio,TX,Public,NA,NA,NA,NA,NA,NA,95,145,NA,NA,TPC San Antonio (Oaks),6.9724,6.808,7.1626,6.9269,6.8482,6.9101,7.0679,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dallas,TX,Private,NA,NA,96,NA,NA,NA,NA,NA,NA,NA,Trinity Forest,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
La Hood,TX,Private,88,NA,NA,NA,NA,NA,NA,NA,NA,NA,Wolf Point,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ivins,UT,Public,NA,NA,NA,NA,NA,NA,35,NA,2023,NA,Balck Desert Resort,7.1519,7.325,7.1991,7.2322,7.1937,7.6496,7.4069,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Roanoke,VA,Private,NA,NA,NA,183,175,191,NA,155,2009,NA,Ballyhack Golf Club,NA,NA,NA,NA,NA,NA,NA,7.3424,7.625,7.5029,7.4871,7.3565,7.3323,7.2377,59.226299999999995,7.2574,7.0864,7.5313,7.3319,6.8865,7.1316,7.2662,NA
Williamsburg,VA,Public,NA,NA,NA,NA,NA,NA,75,NA,NA,NA,Golden Horseshoe Golf Club: Golf Course,6.9759,7.0016,6.9589,7.073,7.0321,7.1382,7.0098,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hot Springs,VA,Public,NA,NA,NA,142,157,NA,42,137,NA,NA,Omni Homestead (Cascades),7.1562,7.353,7.0184,7.3617,7.1216,7.348,7.0375,7.3423,7.2732,7.5846,7.6366,7.5778,7.2052,7.6127,59.57469999999999,NA,NA,NA,NA,NA,NA,NA,NA
Walla Walla,WA,Public,NA,NA,NA,NA,NA,NA,96,134,NA,NA,Wine Vallley Golf Club,6.9404,6.9073,6.8834,7.002,7.2555,6.9158,7.1118,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kohler,WI,Public,NA,NA,NA,NA,NA,NA,92,144,NA,NA,Blackwolf Run (Meadows Valley),6.9306,6.9183,6.9997,6.9688,6.9552,6.8942,7.2065,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Wauwatosa,WI,Private,NA,NA,NA,199,NA,NA,NA,NA,NA,NA,Blue Mound Golf & Country Club,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Green Lake,WI,Public,87,79,89,NA,NA,NA,66,130,NA,NA,Lawsonia (Links),7.1268,7.1649,6.9124,7.174,7.3239,6.988,6.8866,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Nehoosa,WI,Public,NA,NA,NA,NA,NA,NA,51,NA,2024,NA,Sedge Valley at Sand Valley,7.1668,7.2968,6.7669,7.25,7.4435,7.1362,7.263,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Stevens Point,WI,Public,NA,NA,NA,NA,NA,NA,49,NA,1983,NA,SentryWorld Golf Club,7.1083,6.9378,7.3066,7.2363,6.9707,7.1871,7.4796,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sheboygan,WI,Public,NA,NA,NA,192,NA,NA,65,146,NA,NA,Whistling Straits (Irish),7.0452,7.1053,7.0995,7.0359,7.1012,7.1605,7.1875,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
White Sulphur Springs,WV,Public,NA,NA,NA,159,178,NA,39,145,NA,NA,The Greenbrier (Old White TPC),7.2079,7.3546,7.1428,7.2368,7.3211,7.3326,7.3689,7.3236,7.286,7.4278,7.4132,7.4488,7.4694,7.4925,59.1849,NA,NA,NA,NA,NA,NA,NA,NA
